Topic,Question Text,Options,Answer,Difficulty Level,Bloom's Taxonomy Level
Linked Lists,Which of the following is an advantage of a singly linked list over a doubly linked list?,"A. Constant space overhead, B. Easier traversal in reverse, C. Better memory utilization, D. Faster insertion and deletion",D,Moderate,Analyze
Queues,What is the purpose of a circular queue?,"A. Efficient memory utilization, B. Faster insertion and deletion, C. Handling dynamic memory allocation, D. Avoiding memory leaks",B,Medium,Apply
Trees,What is the height of a complete binary tree with 15 nodes?,"A. 3, B. 4, C. 5, D. 6",B,Medium,Analyze
Graphs,What is the time complexity of the Kruskal's algorithm for finding a minimum spanning tree?,"A. O(n log n), B. O(n^2), C. O(n^3), D. O(m log n)",A,Medium,Apply
Hashing,What is a collision in hashing?,"A. The process of hash function calculation, B. The process of finding the hash index, C. When two keys hash to the same index, D. The process of hash table resizing",C,Easy,Understand
Heaps,What is the main drawback of using a heap data structure for priority queues?,"A. Inefficient insertion, B. Inefficient deletion, C. Difficulty in implementation, D. Lack of random access",D,Moderate,Analyze
Sorting,Which sorting algorithm is not stable?,"A. Bubble Sort, B. Merge Sort, C. Insertion Sort, D. Quick Sort",D,Easy,Remember
Recursion,What is the significance of the Fibonacci sequence in recursive algorithms?,"A. It represents an arithmetic sequence, B. It demonstrates divide and conquer, C. It exhibits overlapping subproblems, D. It highlights dynamic programming",C,Medium,Analyze
Search Algorithms,What is the time complexity of linear search in the worst case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Dynamic Programming,What is memoization in dynamic programming?,"A. Storing results of expensive function calls and returning the cached result when the same inputs occur again, B. Repeating the same computation multiple times, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",A,Medium,Apply
Graph Algorithms,What is the purpose of Dijkstra's algorithm?,"A. Finding a minimum spanning tree, B. Shortest path in a weighted graph, C. Topological sorting, D. Detecting cycles in a graph",B,Moderate,Apply
Hash Tables,What is the purpose of rehashing in hashing?,"A. Increasing the load factor, B. Changing the hash function, C. Resolving collisions, D. Enforcing security",C,Medium,Apply
Graph Representation,Which of the following is a common representation of a graph in computer memory?,"A. Incidence matrix, B. Adjacency matrix, C. Adjacency list, D. Hash table",C,Easy,Understand
Sorting,What is the best-case time complexity of the bubble sort algorithm?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",A,Easy,Remember
Dynamic Programming,What is the optimal substructure property in dynamic programming?,"A. Subproblems share subsubproblems, B. Subproblems are unrelated, C. Subproblems have common elements, D. Subproblems have different inputs",A,Medium,Analyze
Stacks,Which operation checks if a stack is empty?,"A. Push, B. Pop, C. Peek, D. IsEmpty",D,Easy,Remember
Trees,What is the maximum number of leaf nodes in a binary tree with height h?,"A. 2^h, B. h, C. 2h, D. h^2",A,Moderate,Analyze
Arrays,What is the time complexity of deleting an element from an unsorted array?,"A. O(1), B. O(log n), C. O(n), D. O(n log n)",C,Easy,Understand
Linked Lists,What is the time complexity of inserting an element at the end of a singly linked list?,"A. O(1), B. O(log n), C. O(n), D. O(n log n)",A,Easy,Remember
Queues,What is the purpose of a double-ended queue (deque)?,"A. Efficient insertion, B. Efficient deletion, C. Efficient insertion and deletion at both ends, D. Efficient random access",C,Medium,Apply
Graphs,What is the minimum number of edges in a connected undirected graph with n vertices to form a cycle?,"A. n-1, B. n, C. n+1, D. 2n",A,Medium,Apply
Hashing,What is the advantage of using separate chaining for collision resolution in hashing?,"A. Simplicity of implementation, B. Better memory utilization, C. Faster access time, D. Avoidance of collisions",A,Medium,Apply
Heaps,What is the purpose of a min heap?,"A. To maintain elements in ascending order, B. To maintain elements in descending order, C. To maintain the minimum element at the root, D. To maintain the maximum element at the root",C,Easy,Understand
Sorting,What is the time complexity of the selection sort algorithm?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",C,Medium,Apply
Graph Representation,Which representation of a graph is more space-efficient for a sparse graph?,"A. Adjacency matrix, B. Adjacency list, C. Incidence matrix, D. Hash table",B,Medium,Apply
Sorting,What is the time complexity of the merge sort algorithm in the worst case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",B,Medium,Analyze
Recursion,What is the purpose of a recursive helper function?,"A. To make the code shorter, B. To avoid recursion, C. To handle exceptional cases, D. To perform the actual recursion with additional parameters",D,Easy,Remember
Search Algorithms,Which data structure is typically used to implement a priority queue?,"A. Array, B. Linked List, C. Heap, D. Stack",C,Easy,Understand
Dynamic Programming,What is the time complexity of the Fibonacci sequence calculation using dynamic programming?,"A. O(n), B. O(log n), C. O(2^n), D. O(n^2)",A,Medium,Apply
Graph Algorithms,What is the difference between breadth-first search (BFS) and depth-first search (DFS) in a graph?,"A. BFS is recursive, DFS uses a queue, B. BFS uses a stack, DFS uses a queue, C. BFS uses a queue, DFS uses a stack, D. BFS is iterative, DFS uses recursion",C,Medium,Analyze
Hash Tables,What is the purpose of a hash collision in open addressing?,"A. Efficient memory utilization, B. Efficient search time, C. Efficient insertion time, D. Resolving conflicts by checking the next slot",D,Medium,Analyze
Graph Representation,Which representation of a graph is more space-efficient for a dense graph?,"A. Adjacency matrix, B. Adjacency list, C. Incidence matrix, D. Hash table",A,Moderate,Apply
Sorting,What is the time complexity of the insertion sort algorithm in the worst case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",C,Easy,Understand
Recursion,What is the role of the base case in a recursive algorithm?,"A. To stop the recursion, B. To increase efficiency, C. To handle exceptional cases, D. To make the code shorter",A,Easy,Remember
Search Algorithms,What is the time complexity of linear search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Dynamic Programming,What is the purpose of memoization in dynamic programming?,"A. Storing results of expensive function calls and returning the cached result when the same inputs occur again, B. Repeating the same computation multiple times, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",A,Medium,Apply
Graph Algorithms,What is the time complexity of Prim's algorithm for finding a minimum spanning tree?,"A. O(V), B. O(E), C. O(V log V), D. O(E log V)",C,Moderate,Apply
Hash Tables,What is the purpose of a perfect hash function in hashing?,"A. To avoid collisions, B. To generate random numbers, C. To compress data, D. To convert data into an index",A,Moderate,Apply
Graph Representation,Which data structure is commonly used to represent a weighted graph?,"A. Array, B. Linked List, C. Matrix, D. Heap",C,Easy,Understand
Recursion,What is the significance of the base case in recursion?,"A. To stop the recursion, B. To increase efficiency, C. To handle exceptional cases, D. To make the code shorter",A,Easy,Remember
Search Algorithms,What is the time complexity of binary search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Moderate,Apply
Dynamic Programming,What is the purpose of bottom-up dynamic programming?,"A. Starting from the top of the problem hierarchy, B. Starting from the bottom of the problem hierarchy, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",B,Medium,Apply
Trees,What is the maximum height of a binary tree with 10 nodes?,"A. 3, B. 4, C. 5, D. 6",B,Medium,Analyze
Arrays,What is the time complexity of finding the maximum element in an unsorted array?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Easy,Remember
Linked Lists,What is the advantage of a circular linked list over a linear linked list?,"A. Easier traversal, B. Efficient memory utilization, C. Simplicity of implementation, D. Faster access time",B,Moderate,Apply
Queues,What is the purpose of a priority queue in computer science?,"A. To execute processes in order, B. To maintain elements in a specific order, C. To schedule tasks based on priority, D. To avoid race conditions",C,Medium,Apply
Graphs,What is a spanning tree in graph theory?,"A. A tree that spans all the vertices in a graph, B. A tree with only one vertex, C. A tree with the minimum number of vertices, D. A tree with the maximum number of vertices",A,Moderate,Analyze
Hashing,What is the primary advantage of using separate chaining for collision resolution in hashing?,"A. Simplicity of implementation, B. Better memory utilization, C. Faster access time, D. Avoidance of collisions",A,Easy,Understand
Heaps,What is the time complexity of inserting an element into a binary heap?,"A. O(1), B. O(log n), C. O(n), D. O(n log n)",B,Medium,Apply
Sorting,Which sorting algorithm has the best average-case time complexity?,"A. Bubble Sort, B. Merge Sort, C. Insertion Sort, D. Quick Sort",B,Medium,Analyze
Recursion,What is the concept of tail recursion in recursive algorithms?,"A. A recursion with no base case, B. A recursion with only one recursive call at the end, C. A recursion with multiple recursive calls, D. A recursion that uses a loop instead of recursion",B,Easy,Understand
Dynamic Programming,What is the main advantage of memoization in dynamic programming?,"A. Improved performance, B. Reduced space complexity, C. Simplicity of implementation, D. Avoidance of recursion",A,Medium,Apply
Graph Algorithms,What is the purpose of Kosaraju's algorithm in graph theory?,"A. Finding strongly connected components, B. Detecting cycles, C. Computing shortest paths, D. Constructing a minimum spanning tree",A,Moderate,Apply
Hash Tables,What is the purpose of double hashing in open addressing for collision resolution?,"A. Efficient memory utilization, B. Efficient search time, C. Handling collisions by checking the next slot, D. Avoiding collisions",D,Medium,Apply
Graph Representation,Which representation of a graph is most suitable for a sparse graph?,"A. Adjacency matrix, B. Adjacency list, C. Incidence matrix, D. Hash table",B,Medium,Apply
Sorting,What is the time complexity of the selection sort algorithm in the worst case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",C,Easy,Understand
Recursion,What is the role of a recursive helper function in a recursive algorithm?,"A. To make the code shorter, B. To avoid recursion, C. To handle exceptional cases, D. To perform the actual recursion with additional parameters",D,Medium,Apply
Search Algorithms,What is the time complexity of binary search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Moderate,Apply
Dynamic Programming,What is the purpose of tabulation in dynamic programming?,"A. Storing results of expensive function calls, B. Repeating the same computation multiple times, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",A,Medium,Apply
Graph Algorithms,What is the time complexity of depth-first search (DFS) in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(log V)",C,Medium,Apply
Hash Tables,What is the purpose of linear probing in open addressing for collision resolution?,"A. Faster access time, B. Better memory utilization, C. Handling collisions by checking the next slot, D. Avoiding collisions",C,Moderate,Apply
Graph Representation,Which representation of a graph is more space-efficient for a sparse graph?,"A. Adjacency matrix, B. Adjacency list, C. Incidence matrix, D. Hash table",B,Medium,Apply
Sorting,What is the time complexity of the merge sort algorithm in the worst case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",B,Medium,Analyze
Recursion,What is the purpose of a recursive helper function?,"A. To make the code shorter, B. To avoid recursion, C. To handle exceptional cases, D. To perform the actual recursion with additional parameters",D,Easy,Remember
Search Algorithms,Which data structure is typically used to implement a priority queue?,"A. Array, B. Linked List, C. Heap, D. Stack",C,Easy,Understand
Dynamic Programming,What is the time complexity of the Fibonacci sequence calculation using dynamic programming?,"A. O(n), B. O(log n), C. O(2^n), D. O(n^2)",A,Medium,Apply
Graph Algorithms,What is the difference between breadth-first search (BFS) and depth-first search (DFS) in a graph?,"A. BFS is recursive, DFS uses a queue, B. BFS uses a stack, DFS uses a queue, C. BFS uses a queue, DFS uses a stack, D. BFS is iterative, DFS uses recursion",C,Medium,Analyze
Hash Tables,What is the purpose of a perfect hash function in hashing?,"A. To avoid collisions, B. To generate random numbers, C. To compress data, D. To convert data into an index",A,Moderate,Apply
Graph Representation,Which data structure is commonly used to represent a weighted graph?,"A. Array, B. Linked List, C. Matrix, D. Heap",C,Easy,Understand
Recursion,What is the significance of the base case in recursion?,"A. To stop the recursion, B. To increase efficiency, C. To handle exceptional cases, D. To make the code shorter",A,Easy,Remember
Search Algorithms,What is the time complexity of binary search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Moderate,Apply
Dynamic Programming,What is the purpose of bottom-up dynamic programming?,"A. Starting from the top of the problem hierarchy, B. Starting from the bottom of the problem hierarchy, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",B,Medium,Apply
Graph Algorithms,What is the time complexity of breadth-first search (BFS) in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(log V)",C,Medium,Apply
Hash Tables,What is the purpose of a perfect hash function in hashing?,"A. To avoid collisions, B. To generate random numbers, C. To compress data, D. To convert data into an index",A,Moderate,Apply
Graph Representation,Which data structure is commonly used to represent a weighted graph?,"A. Array, B. Linked List, C. Matrix, D. Heap",C,Easy,Understand
Recursion,What is the significance of the base case in recursion?,"A. To stop the recursion, B. To increase efficiency, C. To handle exceptional cases, D. To make the code shorter",A,Easy,Remember
Search Algorithms,What is the time complexity of binary search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Moderate,Apply
Dynamic Programming,What is the purpose of bottom-up dynamic programming?,"A. Starting from the top of the problem hierarchy, B. Starting from the bottom of the problem hierarchy, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",B,Medium,Apply
Graph Algorithms,What is the time complexity of breadth-first search (BFS) in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(log V)",C,Medium,Apply
Hash Tables,What is the purpose of a perfect hash function in hashing?,"A. To avoid collisions, B. To generate random numbers, C. To compress data, D. To convert data into an index",A,Moderate,Apply
Graph Representation,Which data structure is commonly used to represent a weighted graph?,"A. Array, B. Linked List, C. Matrix, D. Heap",C,Easy,Understand
Recursion,What is the significance of the base case in recursion?,"A. To stop the recursion, B. To increase efficiency, C. To handle exceptional cases, D. To make the code shorter",A,Easy,Remember
Search Algorithms,What is the time complexity of binary search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Moderate,Apply
Dynamic Programming,What is the purpose of bottom-up dynamic programming?,"A. Starting from the top of the problem hierarchy, B. Starting from the bottom of the problem hierarchy, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",B,Medium,Apply
Graph Algorithms,What is the time complexity of breadth-first search (BFS) in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(log V)",C,Medium,Apply
Hash Tables,What is the purpose of a perfect hash function in hashing?,"A. To avoid collisions, B. To generate random numbers, C. To compress data, D. To convert data into an index",A,Moderate,Apply
Graph Representation,Which data structure is commonly used to represent a weighted graph?,"A. Array, B. Linked List, C. Matrix, D. Heap",C,Easy,Understand
Recursion,What is the significance of the base case in recursion?,"A. To stop the recursion, B. To increase efficiency, C. To handle exceptional cases, D. To make the code shorter",A,Easy,Remember
Search Algorithms,What is the time complexity of binary search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Moderate,Apply
Dynamic Programming,What is the purpose of bottom-up dynamic programming?,"A. Starting from the top of the problem hierarchy, B. Starting from the bottom of the problem hierarchy, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",B,Medium,Apply
Graph Algorithms,What is the time complexity of breadth-first search (BFS) in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(log V)",C,Medium,Apply
Hash Tables,What is the purpose of a perfect hash function in hashing?,"A. To avoid collisions, B. To generate random numbers, C. To compress data, D. To convert data into an index",A,Moderate,Apply
Graph Representation,Which data structure is commonly used to represent a weighted graph?,"A. Array, B. Linked List, C. Matrix, D. Heap",C,Easy,Understand
Trees,What is the minimum height of a binary search tree with 10 nodes?,"A. 3, B. 4, C. 5, D. 6",A,Moderate,Analyze
Arrays,What is the time complexity of searching for an element in a sorted array using binary search?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Easy,Understand
Linked Lists,What is the primary advantage of a doubly linked list over a singly linked list?,"A. Easier traversal in reverse, B. Better memory utilization, C. Faster insertion and deletion, D. Constant space overhead",C,Moderate,Apply
Queues,What is the purpose of a priority queue in computer science?,"A. To execute processes in order, B. To maintain elements in a specific order, C. To schedule tasks based on priority, D. To avoid race conditions",C,Medium,Apply
Graphs,What is a spanning tree in graph theory?,"A. A tree that spans all the vertices in a graph, B. A tree with only one vertex, C. A tree with the minimum number of vertices, D. A tree with the maximum number of vertices",A,Moderate,Analyze
Hashing,What is the primary advantage of using open addressing for collision resolution in hashing?,"A. Simplicity of implementation, B. Better memory utilization, C. Faster access time, D. Avoidance of collisions",C,Easy,Understand
Heaps,What is the time complexity of deleting the maximum element from a binary heap?,"A. O(1), B. O(log n), C. O(n), D. O(n log n)",B,Medium,Apply
Sorting,Which sorting algorithm has the best worst-case time complexity?,"A. Bubble Sort, B. Merge Sort, C. Insertion Sort, D. Quick Sort",B,Medium,Analyze
Recursion,What is the concept of a base case in recursive algorithms?,"A. A case that is used as a starting point, B. A case that does not involve recursion, C. A case that handles exceptional conditions, D. A case that terminates the recursion",D,Easy,Remember
Search Algorithms,What is the main advantage of interpolation search over binary search?,"A. Lower time complexity, B. Less memory usage, C. Better adaptability to different data distributions, D. Simplicity of implementation",C,Moderate,Apply
Dynamic Programming,What is the purpose of bottom-up dynamic programming?,"A. Starting from the top of the problem hierarchy, B. Starting from the bottom of the problem hierarchy, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",B,Medium,Apply
Graph Algorithms,What is the time complexity of depth-first search (DFS) in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(log V)",C,Medium,Apply
Hash Tables,What is the purpose of linear probing in open addressing for collision resolution?,"A. Faster access time, B. Better memory utilization, C. Handling collisions by checking the next slot, D. Avoiding collisions",C,Moderate,Apply
Graph Representation,Which representation of a graph is more space-efficient for a sparse graph?,"A. Adjacency matrix, B. Adjacency list, C. Incidence matrix, D. Hash table",B,Medium,Apply
Sorting,What is the time complexity of the bubble sort algorithm in the best case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",A,Easy,Remember
Dynamic Programming,What is the optimal substructure property in dynamic programming?,"A. Subproblems share subsubproblems, B. Subproblems are unrelated, C. Subproblems have common elements, D. Subproblems have different inputs",A,Medium,Analyze
Trees,What is the maximum number of edges in a binary tree with n nodes?,"A. n, B. n-1, C. 2n, D. 2n-1",B,Moderate,Analyze
Arrays,What is the time complexity of inserting an element at the beginning of an array?,"A. O(1), B. O(log n), C. O(n), D. O(n log n)",A,Easy,Remember
Linked Lists,What is the time complexity of reversing a singly linked list?,"A. O(1), B. O(log n), C. O(n), D. O(n log n)",C,Medium,Apply
Queues,Which type of queue allows elements to be added or removed from both ends?,"A. Priority Queue, B. Circular Queue, C. Double-ended Queue (Deque), D. Linear Queue",C,Moderate,Apply
Graphs,What is a bipartite graph?,"A. A graph with two connected components, B. A graph with two vertices, C. A graph with two edges, D. A graph whose vertices can be divided into two disjoint sets",D,Medium,Analyze
Hashing,What is the purpose of a hash collision in open addressing?,"A. Efficient memory utilization, B. Efficient search time, C. Efficient insertion time, D. Resolving conflicts by checking the next slot",D,Medium,Analyze
Heaps,What is the time complexity of extracting the minimum element from a binary min-heap?,"A. O(1), B. O(log n), C. O(n), D. O(n log n)",B,Medium,Apply
Recursion,What is the role of a base case in a recursive algorithm?,"A. To stop the recursion, B. To increase efficiency, C. To handle exceptional cases, D. To make the code shorter",A,Easy,Remember
Search Algorithms,What is the time complexity of linear search in the worst case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Medium,Apply
Dynamic Programming,What is the purpose of memoization in dynamic programming?,"A. Storing results of expensive function calls and returning the cached result when the same inputs occur again, B. Repeating the same computation multiple times, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",A,Medium,Apply
Graph Algorithms,What is the time complexity of Prim's algorithm for finding a minimum spanning tree?,"A. O(V), B. O(E), C. O(V log V), D. O(E log V)",C,Moderate,Apply
Hash Tables,What is the purpose of a perfect hash function in hashing?,"A. To avoid collisions, B. To generate random numbers, C. To compress data, D. To convert data into an index",A,Moderate,Apply
Graph Representation,Which data structure is commonly used to represent a weighted graph?,"A. Array, B. Linked List, C. Matrix, D. Heap",C,Easy,Understand
Recursion,What is the significance of the base case in recursion?,"A. To stop the recursion, B. To increase efficiency, C. To handle exceptional cases, D. To make the code shorter",A,Easy,Remember
Search Algorithms,What is the time complexity of binary search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Moderate,Apply
Dynamic Programming,What is the purpose of bottom-up dynamic programming?,"A. Starting from the top of the problem hierarchy, B. Starting from the bottom of the problem hierarchy, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",B,Medium,Apply
Graph Algorithms,What is the time complexity of breadth-first search (BFS) in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(log V)",C,Medium,Apply
Hash Tables,What is the purpose of a perfect hash function in hashing?,"A. To avoid collisions, B. To generate random numbers, C. To compress data, D. To convert data into an index",A,Moderate,Apply
Graph Representation,Which data structure is commonly used to represent a weighted graph?,"A. Array, B. Linked List, C. Matrix, D. Heap",C,Easy,Understand
Recursion,What is the significance of the base case in recursion?,"A. To stop the recursion, B. To increase efficiency, C. To handle exceptional cases, D. To make the code shorter",A,Easy,Remember
Search Algorithms,What is the time complexity of binary search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Moderate,Apply
Dynamic Programming,What is the purpose of bottom-up dynamic programming?,"A. Starting from the top of the problem hierarchy, B. Starting from the bottom of the problem hierarchy, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",B,Medium,Apply
Graph Algorithms,What is the time complexity of breadth-first search (BFS) in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(log V)",C,Medium,Apply
Hash Tables,What is the purpose of a perfect hash function in hashing?,"A. To avoid collisions, B. To generate random numbers, C. To compress data, D. To convert data into an index",A,Moderate,Apply
Trees,What is the height of a complete binary tree with 15 nodes?,"A. 3, B. 4, C. 5, D. 6",B,Medium,Analyze
Arrays,What is the time complexity of finding the smallest element in an unsorted array?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",C,Easy,Remember
Linked Lists,What is the advantage of a singly linked list over a doubly linked list?,"A. Easier traversal in reverse, B. Better memory utilization, C. Faster insertion and deletion, D. Constant space overhead",C,Moderate,Apply
Queues,What is the purpose of a circular queue in computer science?,"A. To execute processes in order, B. To maintain elements in a specific order, C. To schedule tasks based on priority, D. To avoid race conditions",A,Medium,Apply
Graphs,What is a connected graph in graph theory?,"A. A graph with no edges, B. A graph with exactly one vertex, C. A graph with all vertices connected by edges, D. A graph with disconnected components",C,Moderate,Analyze
Hashing,What is the primary advantage of using separate chaining for collision resolution in hashing?,"A. Simplicity of implementation, B. Better memory utilization, C. Faster access time, D. Avoidance of collisions",A,Easy,Understand
Heaps,What is the time complexity of deleting the minimum element from a binary min-heap?,"A. O(1), B. O(log n), C. O(n), D. O(n log n)",B,Medium,Apply
Sorting,Which sorting algorithm has the best average-case time complexity?,"A. Bubble Sort, B. Merge Sort, C. Insertion Sort, D. Quick Sort",B,Medium,Analyze
Recursion,What is the concept of tail recursion in recursive algorithms?,"A. A recursion with no base case, B. A recursion with only one recursive call at the end, C. A recursion with multiple recursive calls, D. A recursion that uses a loop instead of recursion",B,Easy,Understand
Dynamic Programming,What is the main advantage of memoization in dynamic programming?,"A. Improved performance, B. Reduced space complexity, C. Simplicity of implementation, D. Avoidance of recursion",A,Medium,Apply
Graph Algorithms,What is the purpose of Kosaraju's algorithm in graph theory?,"A. Finding strongly connected components, B. Detecting cycles, C. Computing shortest paths, D. Constructing a minimum spanning tree",A,Moderate,Apply
Hash Tables,What is the purpose of double hashing in open addressing for collision resolution?,"A. Efficient memory utilization, B. Efficient search time, C. Handling collisions by checking the next slot, D. Avoiding collisions",D,Medium,Apply
Graph Representation,Which representation of a graph is most suitable for a sparse graph?,"A. Adjacency matrix, B. Adjacency list, C. Incidence matrix, D. Hash table",B,Medium,Apply
Sorting,What is the time complexity of the selection sort algorithm in the worst case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",C,Easy,Understand
Recursion,What is the role of a recursive helper function in a recursive algorithm?,"A. To make the code shorter, B. To avoid recursion, C. To handle exceptional cases, D. To perform the actual recursion with additional parameters",D,Medium,Apply
Search Algorithms,What is the time complexity of binary search in the average case?,"A. O(1), B. O(log n), C. O(n), D. O(n^2)",B,Moderate,Apply
Dynamic Programming,What is the purpose of tabulation in dynamic programming?,"A. Storing results of expensive function calls, B. Repeating the same computation multiple times, C. Optimizing the function for better performance, D. Ignoring subproblems and solving the main problem directly",A,Medium,Apply
Graph Algorithms,What is the time complexity of depth-first search (DFS) in a graph with V vertices and E edges?,"A. O(V), B. O(E), C. O(V + E), D. O(log V)",C,Medium,Apply
Hash Tables,What is the purpose of linear probing in open addressing for collision resolution?,"A. Faster access time, B. Better memory utilization, C. Handling collisions by checking the next slot, D. Avoiding collisions",C,Moderate,Apply
Graph Representation,Which representation of a graph is more space-efficient for a sparse graph?,"A. Adjacency matrix, B. Adjacency list, C. Incidence matrix, D. Hash table",B,Medium,Apply
Sorting,What is the time complexity of the merge sort algorithm in the worst case?,"A. O(n), B. O(n log n), C. O(n^2), D. O(log n)",B,Medium,Analyze
Recursion,What is the purpose of a recursive helper function?,"A. To make the code shorter, B. To avoid recursion, C. To handle exceptional cases, D. To perform the actual recursion with additional parameters",D,Easy,Remember
Search Algorithms,Which data structure is typically used to implement a priority queue?,"A. Array, B. Linked List, C. Heap, D. Stack",C,Easy,Understand
